relative_path,experiment,name,extension,size_bytes,sha256,detected_format,encoding,role,interpretation_confidence,role_note,line_count,record_count,timestamp_start_utc,timestamp_end_utc,delimiter,headers,schema_or_sheets,quality_notes
Exp20190320/dump_20190320_4154 (2).txt,Exp20190320,dump_20190320_4154 (2).txt,.txt,3916,b3ea5188ddd14ae01f6c9386c4d5059aaca7ad53be5020a875f29528603afba0,event/debug text log,ascii,OPC UA / Node-RED sensor event log,probable,sensor/topic semantics require confirmation,34,34,2019-03-20T14:50:39.379000Z,2019-03-20T14:59:48.975000Z,JSON Lines,"[""T14"",""order"",""sensor"",""timestamp"",""timestampms"",""topic""]","{""Res 30 line1"":24,""Res 30 line2"":10}","{""duplicate_events"":0,""sampling_interval_ms"":{""median_ms"":205.5,""p10_ms"":201,""p90_ms"":1525}}"
Exp20190320/probe1_20190320_4154_1641.txt,Exp20190320,probe1_20190320_4154_1641.txt,.txt,6344,5e80571fdad69924a96e5534bd6fde90bc97970d29b93e97a8c711ed0c5972a8,event/debug text log,ascii,OPC UA / Node-RED sensor event log,probable,sensor/topic semantics require confirmation,104,34,2019-03-20T14:50:39.379000Z,2019-03-20T14:59:48.975000Z,Node-RED multiline log,"[""T14"",""order"",""sensor"",""timestamp"",""timestampms"",""topic""]","{""Res 30 line1"":24,""Res 30 line2"":10}","{""duplicate_events"":0,""sampling_interval_ms"":{""median_ms"":205.5,""p10_ms"":201,""p90_ms"":1525}}"
Exp20190320/probe1_20190320_4155_1718.txt,Exp20190320,probe1_20190320_4155_1718.txt,.txt,3423,182834d5ea10a20f9e5c0f8350638eb58a4ad820d0996b17f410bb159518a07f,event/debug text log,ascii,OPC UA / Node-RED sensor event log,probable,sensor/topic semantics require confirmation,56,18,2019-03-20T16:06:18.793000Z,2019-03-20T16:09:13.740000Z,Node-RED multiline log,"[""T16"",""order"",""sensor"",""timestamp"",""timestampms"",""topic""]","{""Res 30 line1"":13,""Res 30 line2"":5}","{""duplicate_events"":0,""sampling_interval_ms"":{""median_ms"":218.0,""p10_ms"":201,""p90_ms"":524}}"
Exp20190320/query_20190320_1641.txt,Exp20190320,query_20190320_1641.txt,.txt,7692339,38a885b859e78217434d107fa71fe8e4552a3d8200cab629d512d2976a3c0ed5,delimited text export,ascii,sparse union-style export of power and operation/PLC events,probable,not a time-fused table; requires original query confirmation,57839,57835,2019-03-20T14:26:46.988000Z,2019-03-20T15:41:15.240000Z,|,"[""dateandtime"",""id"",""prs"",""flw"",""pwr"",""bsy"",""rfd"",""dne"",""inp"",""wrk"",""out"",""ord"",""pno"",""car"",""wpl"",""stp"",""opn"",""prt""]",flat export,"{""missing_by_column"":{""bsy"":57728,""rfd"":57581,""dne"":57527,""inp"":57808,""wrk"":57612,""out"":57809,""ord"":57430,""pno"":57430,""car"":57430,""wpl"":57835,""stp"":57835,""opn"":57430,""prt"":57430,""prs"":405,""flw"":405,""pwr"":405},""duplicate_rows"":0,""sampling_interval_ms"":{""median_ms"":83,""p10_ms"":8,""p90_ms"":992}}"
Exp20190320/query_20190320_1718.txt,Exp20190320,query_20190320_1718.txt,.txt,11564235,69e1d63574cfa75d9646d02d0167b22dc6ff2843c0d09e0a6f814eeeb9074278,delimited text export,ascii,sparse union-style export of power and operation/PLC events,probable,not a time-fused table; requires original query confirmation,86951,86947,2019-03-20T14:26:46.988000Z,2019-03-20T16:18:10.719000Z,|,"[""dateandtime"",""id"",""prs"",""flw"",""pwr"",""bsy"",""rfd"",""dne"",""inp"",""wrk"",""out"",""ord"",""pno"",""car"",""wpl"",""stp"",""opn"",""prt""]",flat export,"{""missing_by_column"":{""bsy"":86753,""rfd"":86488,""dne"":86395,""inp"":86899,""wrk"":86541,""out"":86902,""ord"":86220,""pno"":86220,""car"":86220,""wpl"":86947,""stp"":86947,""opn"":86220,""prt"":86220,""prs"":727,""flw"":727,""pwr"":727},""duplicate_rows"":0,""sampling_interval_ms"":{""median_ms"":82,""p10_ms"":7,""p90_ms"":992}}"
Exp20190416/dump_20190416_1004.sql,Exp20190416,dump_20190416_1004.sql,.sql,741144,071c6d1b48c90889dd5977a15a23a1b6ebb7bb048eb1326a7f304ff169d15e91,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,11403,11213,2019-04-16T07:23:48.384000Z,2019-04-16T07:35:36.207000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190416/dump_20190416_1116.sql,Exp20190416,dump_20190416_1116.sql,.sql,5284767,7bbbdf3be1a81c742bee7c3947401fb422e70de3aed116e3af5d054047798033,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,76873,76683,2019-04-16T08:16:40.121000Z,2019-04-16T09:16:24.418000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,dump_20190416_1116_new.sql,.sql,5284891,5af333274a124a58874b5969345918fe39131e207c27276aeab010ea8ba0828f,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,76873,76683,2019-04-16T08:16:40.121000Z,2019-04-16T09:16:24.418000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi1116,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190416/dump_20190416_1515.sql,Exp20190416,dump_20190416_1515.sql,.sql,4012129,5d0cb0b35c68e0e6f2db817283f6edd7eae88116e4e2d08cddd2320c72ab16d3,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,58450,58260,2019-04-16T12:22:31.759000Z,2019-04-16T13:16:00.418000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190416/dump_20190416_1630.sql,Exp20190416,dump_20190416_1630.sql,.sql,4393545,a12dce970703272eb75cf8d09405782172c23c3ec4224865fccb78c0a6526ae1,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,64744,64554,2019-04-16T13:28:47.710000Z,2019-04-16T14:30:46.623000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190416/dump_20190416_1807.sql,Exp20190416,dump_20190416_1807.sql,.sql,6704869,72dc64f81ba21d710bee92e81fadb001b187288efe4e1479e6c1c275da668885,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,98521,98331,2019-04-16T14:34:39.298000Z,2019-04-16T16:07:54.493000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190416/dump_20190416_1807_new.sql,Exp20190416,dump_20190416_1807_new.sql,.sql,6704993,93b0a9bdc8e5ae8042d58c1354289960452abfe11b09028108f851186631f423,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,98521,98331,2019-04-16T14:34:39.298000Z,2019-04-16T16:07:54.493000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi1807,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190416/dump_20190416_1844.sql,Exp20190416,dump_20190416_1844.sql,.sql,2108522,1c8bc19311ba74e860beeea502eeaa80f154971d413761b20da3f198a79ff601,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,31034,30844,2019-04-16T16:15:31.257000Z,2019-04-16T16:44:47.452000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190514/1_20190514.txt,Exp20190514,1_20190514.txt,.txt,28474,0cbab1d7473a0800e2f5f481fbf34c94750989747e7a85b1eec3433a9ba39137,event/debug text log,ascii,annotated Node-RED sensor capture,probable,manual headings require interpretation,470,150,2019-05-14T07:44:36.394000Z,2019-05-14T09:16:13.220000Z,Node-RED multiline log,"[""T07"",""T08"",""T09"",""order"",""sensor"",""timestamp"",""timestampms"",""topic""]","{""Res 30 line1"":110,""Res 30 line2"":40}","{""duplicate_events"":0,""sampling_interval_ms"":{""median_ms"":210.5,""p10_ms"":200,""p90_ms"":314701}}"
Exp20190514/2_fuse20190514.txt,Exp20190514,2_fuse20190514.txt,.txt,28161,19c79fb34a1ff3b48b8a6af9e17c7646557583b0ba3cd68a081f6e2f6dc927b7,event/debug text log,ascii,annotated Node-RED sensor capture,probable,manual headings require interpretation,470,148,2019-05-14T09:33:05.791000Z,2019-05-14T10:55:10.038000Z,Node-RED multiline log,"[""T09"",""T10"",""order"",""sensor"",""timestamp"",""timestampms"",""topic""]","{""Res 30 line1"":104,""Res 30 line2"":44}","{""duplicate_events"":0,""sampling_interval_ms"":{""median_ms"":214.0,""p10_ms"":195,""p90_ms"":293123}}"
Exp20190514/Elaborazioni_dati_exp20190514_1123_1302.xlsx,Exp20190514,Elaborazioni_dati_exp20190514_1123_1302.xlsx,.xlsx,105036,024f185af14585b4bb359b17427df7ee84f275ff0af45761e29afac854b3cb1e,Excel OOXML workbook,binary OOXML,manually derived/analysis workbook,probable,not a primary raw source until lineage is confirmed,,352,2019-05-14T09:32:49.220000Z,2019-05-14T10:59:03.605000Z,OOXML,inspection limited to OOXML metadata/sample values,"[""Energy saving calcs no 1o"", ""DATI IN AND OUT CORRETTI 20"", ""PIVOT"", ""DATI IN AND OUT ALL STATIONS"", ""DATI IN AND OUT 40-50 stima"", ""Energy saving calculations"", ""Ciclo lav drill bool"", ""Ciclo lav drill no boolManual "", ""Ciclo lav drill SQL""]",artifact-tool unavailable; formulas counted but not recalculated or visually validated
Exp20190514/Expe-summary.xlsx,Exp20190514,Expe-summary.xlsx,.xlsx,50369,e6e7e2f0fc8166cd319265a8bf38f9824761b35b803b4628ce5d2024233f7930,Excel OOXML workbook,binary OOXML,experiment summary workbook,probable,contextual/derived source,,39,2019-05-14T08:30:42.244000Z,2019-05-14T10:55:09.537000Z,OOXML,inspection limited to OOXML metadata/sample values,"[""20190514""]",artifact-tool unavailable; formulas counted but not recalculated or visually validated
Exp20190514/dump_20190514_1122_new.sql,Exp20190514,dump_20190514_1122_new.sql,.sql,5634140,f3846fbd648199df3c152ed923dc7ab1fcc12afa56a7468887022824236b7a86,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,88223,88033,2019-05-14T07:28:40.553000Z,2019-05-14T09:22:38.540000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi1122,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190514/dump_20190514_1302.sql,Exp20190514,dump_20190514_1302.sql,.sql,6345362,544ad5a2448f683271f83aec475f78de0ce10e8521750cb4eb265b21bf1538a8,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,96159,95969,2019-05-14T09:25:27.270000Z,2019-05-14T11:02:47.461000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190514/dump_20190514_1302_new.sql,Exp20190514,dump_20190514_1302_new.sql,.sql,6345486,3f3013620bdd8c1828841106bbee4c6be13c9bdec51b8ee4289a21eb21d06e98,PostgreSQL plain-text dump,ascii,database snapshot containing power and PLC/MES tables,confirmed,PostgreSQL COPY dump,96159,95969,2019-05-14T09:25:27.270000Z,2019-05-14T11:02:47.461000Z,PostgreSQL COPY (tab),"tblMachineReport:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]; tblOperationLog:[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]; tblPowerLog:[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]; tblSensorsLog:[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",polimi1302,tables with zero rows and cumulative snapshots must be handled explicitly
Exp20190514/probe_20190514_1122.txt,Exp20190514,probe_20190514_1122.txt,.txt,21885,38e893d6ee649db81c39e4f8daff1a5cc0d04b9cc99718615345e348db85fee1,event/debug text log,ascii,OPC UA / Node-RED sensor event log,probable,sensor/topic semantics require confirmation,185,185,2019-05-14T07:36:44.503000Z,2019-05-14T09:16:13.220000Z,JSON Lines,"[""T07"",""T08"",""T09"",""order"",""sensor"",""timestamp"",""timestampms"",""topic""]","{""Res 30 line1"":135,""Res 30 line2"":50}","{""duplicate_events"":0,""sampling_interval_ms"":{""median_ms"":210,""p10_ms"":200,""p90_ms"":270175}}"
